precinct,borough,month,year,jurisdiction_code,level,offense,susp_age_group,susp_race,susp_sex,vic_age_group,vic_race,vic_sex,latitude,longitude,date_time,day_of_week,hour,wkend_wkday,covid_state,time_range
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Other Offenses Related To Thef,Unclear,BLACK,Male,45-64,BLACK,Male,40.844644262,-73.93873193,01/01/2017,Sun,11,weekend,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Off. Agnst Pub Ord Sensblty &,Unclear,Unclear,Unclear,45-64,WHITE HISPANIC,Female,40.844323751,-73.93991048,01/03/2017,Tue,04,weekday,0,0
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Assault 3 & Related Offenses,25-44,WHITE HISPANIC,Male,25-44,WHITE HISPANIC,Female,40.84216213,-73.942279707,01/03/2017,Tue,14,weekday,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Petit Larceny,25-44,BLACK HISPANIC,Male,Unclear,Unclear,Unclear,40.842067278,-73.939294497,01/04/2017,Wed,22,weekday,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Frauds,Unclear,Unclear,Unclear,25-44,BLACK HISPANIC,Female,40.845824399,-73.938568196,01/04/2017,Wed,22,weekday,0,2
33,MANHATTAN,Jan,2017,0,FELONY,Felony Assault,25-44,Unclear,Male,25-44,WHITE HISPANIC,Male,40.839475155,-73.937207962,01/05/2017,Thu,20,weekday,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Petit Larceny,Unclear,Unclear,Unclear,45-64,WHITE,Female,40.845035017,-73.940658001,01/05/2017,Thu,00,weekday,0,0
33,MANHATTAN,Jan,2017,0,FELONY,Dangerous Drugs,25-44,WHITE HISPANIC,Male,Unclear,Unclear,Unclear,40.839601874,-73.938064365,01/05/2017,Thu,08,weekday,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Criminal Mischief & Related Of,Unclear,Unclear,Female,Unclear,Unclear,Unclear,40.840183525,-73.93764098,01/06/2017,Fri,02,weekday,0,0
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Criminal Trespass,45-64,BLACK,Male,Unclear,Unclear,Unclear,40.840792611,-73.93719949,01/06/2017,Fri,16,weekday,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Criminal Trespass,45-64,BLACK HISPANIC,Male,Unclear,Unclear,Unclear,40.840792611,-73.93719949,01/06/2017,Fri,16,weekday,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Assault 3 & Related Offenses,25-44,WHITE HISPANIC,Male,<18,WHITE HISPANIC,Female,40.838998278,-73.938513061,01/06/2017,Fri,18,weekday,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Petit Larceny,Unclear,Unclear,Unclear,45-64,BLACK HISPANIC,Female,40.845824399,-73.938568196,01/06/2017,Fri,21,weekday,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Vehicle And Traffic Laws,Unclear,Unclear,Unclear,25-44,WHITE HISPANIC,Male,40.842909442,-73.938422706,01/07/2017,Sat,13,weekend,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Offenses Against Public Admini,18-24,BLACK HISPANIC,Male,25-44,BLACK,Male,40.839575958,-73.940984517,01/09/2017,Mon,06,weekday,0,0
33,MANHATTAN,Jan,2017,1,MISDEMEANOR,Off. Agnst Pub Ord Sensblty &,Unclear,Unclear,Unclear,25-44,WHITE HISPANIC,Male,40.841084921,-73.93976884,01/09/2017,Mon,05,weekday,0,0
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Criminal Trespass,45-64,WHITE HISPANIC,Male,Unclear,Unclear,Unclear,40.839601874,-73.938064365,01/09/2017,Mon,13,weekday,0,1
33,MANHATTAN,Jan,2017,0,FELONY,Felony Assault,45-64,WHITE HISPANIC,Male,65+,WHITE HISPANIC,Female,40.844972739,-73.942335098,01/10/2017,Tue,18,weekday,0,2
33,MANHATTAN,Jan,2017,0,FELONY,Felony Assault,25-44,BLACK HISPANIC,Male,65+,WHITE HISPANIC,Female,40.838997766,-73.93755897,01/10/2017,Tue,08,weekday,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Petit Larceny,45-64,BLACK HISPANIC,Male,Unclear,Unclear,Unclear,40.842067278,-73.939294497,01/10/2017,Tue,16,weekday,0,2
33,MANHATTAN,Jan,2017,0,FELONY,Burglary,Unclear,Unclear,Male,Unclear,Unclear,Unclear,40.842946185,-73.940446626,01/10/2017,Tue,18,weekday,0,2
33,MANHATTAN,Jan,2017,0,FELONY,Robbery,Unclear,Unclear,Unclear,65+,BLACK HISPANIC,Male,40.838997766,-73.93755897,01/11/2017,Wed,18,weekday,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Dangerous Weapons,25-44,WHITE HISPANIC,Male,Unclear,Unclear,Unclear,40.84232132,-73.937028181,01/11/2017,Wed,17,weekday,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Criminal Trespass,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,40.839601874,-73.938064365,01/12/2017,Thu,09,weekday,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Petit Larceny,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,40.84227478,-73.94251453,01/12/2017,Thu,16,weekday,0,2
33,MANHATTAN,Jan,2017,0,FELONY,Dangerous Weapons,25-44,BLACK HISPANIC,Male,Unclear,Unclear,Unclear,40.842446027,-73.939254396,01/12/2017,Thu,21,weekday,0,2
33,MANHATTAN,Jan,2017,0,FELONY,Dangerous Drugs,25-44,WHITE HISPANIC,Male,Unclear,Unclear,Unclear,40.842817984,-73.942015301,01/12/2017,Thu,04,weekday,0,0
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Offenses Against Public Admini,25-44,BLACK,Male,Unclear,BLACK,Unclear,40.841642767,-73.94106581,01/12/2017,Thu,08,weekday,0,1
33,MANHATTAN,Jan,2017,1,FELONY,Criminal Mischief & Related Of,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,40.840974994,-73.939505111,01/13/2017,Fri,22,weekday,0,2
33,MANHATTAN,Jan,2017,0,FELONY,Burglary,Unclear,Unclear,Unclear,45-64,BLACK,Female,40.843828558,-73.937749605,01/13/2017,Fri,03,weekday,0,0
33,MANHATTAN,Jan,2017,0,VIOLATION,Harrassment 2,Unclear,BLACK,Male,45-64,BLACK,Female,40.841642767,-73.94106581,01/13/2017,Fri,14,weekday,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Assault 3 & Related Offenses,18-24,WHITE HISPANIC,Male,25-44,WHITE HISPANIC,Male,40.843216237,-73.937287557,01/13/2017,Fri,04,weekday,0,0
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Criminal Trespass,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,40.839601874,-73.938064365,01/13/2017,Fri,15,weekday,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Petit Larceny,Unclear,Unclear,Unclear,25-44,WHITE,Female,40.843910718,-73.942697443,01/13/2017,Fri,07,weekday,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Offenses Against The Person,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,40.839602383,-73.939018466,01/14/2017,Sat,14,weekend,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Criminal Mischief & Related Of,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,40.843590489,-73.939101552,01/14/2017,Sat,16,weekend,0,2
33,MANHATTAN,Jan,2017,1,FELONY,Forgery,25-44,BLACK,Male,Unclear,Unclear,Unclear,40.840974994,-73.939505111,01/14/2017,Sat,07,weekend,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Petit Larceny,45-64,WHITE HISPANIC,Male,Unclear,Unclear,Unclear,40.842067278,-73.939294497,01/15/2017,Sun,17,weekend,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Petit Larceny,Unclear,Unclear,Unclear,25-44,BLACK,Female,40.842838501,-73.939217894,01/16/2017,Mon,08,weekday,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Petit Larceny,Unclear,Unclear,Unclear,Unclear,Unclear,Male,40.839575958,-73.940984517,01/16/2017,Mon,19,weekday,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Offenses Against Public Admini,45-64,WHITE HISPANIC,Male,45-64,WHITE HISPANIC,Female,40.84436545,-73.940933283,01/16/2017,Mon,20,weekday,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Criminal Mischief & Related Of,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,40.84344633,-73.94163526,01/17/2017,Tue,15,weekday,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Criminal Trespass,18-24,BLACK HISPANIC,Male,Unclear,Unclear,Unclear,40.840792611,-73.93719949,01/17/2017,Tue,16,weekday,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Criminal Mischief & Related Of,Unclear,Unclear,Unclear,Unclear,WHITE,Unclear,40.845824399,-73.938568196,01/18/2017,Wed,21,weekday,0,2
33,MANHATTAN,Jan,2017,0,FELONY,Grand Larceny,Unclear,Unclear,Unclear,45-64,WHITE HISPANIC,Female,40.843590489,-73.939101552,01/18/2017,Wed,11,weekday,0,1
33,MANHATTAN,Jan,2017,0,FELONY,Robbery,18-24,WHITE HISPANIC,Unclear,18-24,BLACK,Male,40.845035017,-73.940658001,01/18/2017,Wed,23,weekday,0,0
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Petit Larceny,Unclear,Unclear,Unclear,25-44,ASIAN / PACIFIC ISLANDER,Female,40.841642767,-73.94106581,01/18/2017,Wed,07,weekday,0,1
33,MANHATTAN,Jan,2017,0,FELONY,Felony Assault,Unclear,Unclear,Unclear,25-44,BLACK,Male,40.841688529,-73.939334598,01/18/2017,Wed,07,weekday,0,1
33,MANHATTAN,Jan,2017,0,VIOLATION,Harrassment 2,45-64,WHITE HISPANIC,Female,65+,WHITE HISPANIC,Female,40.844323751,-73.93991048,01/18/2017,Wed,22,weekday,0,2
33,MANHATTAN,Jan,2017,0,FELONY,Grand Larceny,Unclear,Unclear,Unclear,25-44,ASIAN / PACIFIC ISLANDER,Male,40.84503177,-73.939689366,01/20/2017,Fri,23,weekday,0,0
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Criminal Mischief & Related Of,Unclear,Unclear,Unclear,25-44,WHITE HISPANIC,Male,40.842254636,-73.940674937,01/21/2017,Sat,21,weekend,0,2
33,MANHATTAN,Jan,2017,0,FELONY,Miscellaneous Penal Law,45-64,BLACK HISPANIC,Male,65+,BLACK HISPANIC,Female,40.844972739,-73.942335098,01/21/2017,Sat,15,weekend,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Criminal Mischief & Related Of,25-44,BLACK,Male,45-64,BLACK,Female,40.839719275,-73.942151721,01/21/2017,Sat,23,weekend,0,0
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Dangerous Drugs,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,40.841094924,-73.937929253,01/21/2017,Sat,14,weekend,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Offenses Against Public Admini,Unclear,Unclear,Unclear,45-64,WHITE HISPANIC,Female,40.84436545,-73.940933283,01/21/2017,Sat,08,weekend,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Offenses Against Public Admini,45-64,WHITE HISPANIC,Male,45-64,WHITE HISPANIC,Female,40.84436545,-73.940933283,01/21/2017,Sat,17,weekend,0,2
33,MANHATTAN,Jan,2017,0,FELONY,Dangerous Drugs,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,40.839601874,-73.938064365,01/21/2017,Sat,11,weekend,0,1
33,MANHATTAN,Jan,2017,0,FELONY,Grand Larceny,18-24,WHITE HISPANIC,Male,25-44,WHITE HISPANIC,Male,40.84436545,-73.940933283,01/22/2017,Sun,13,weekend,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Petit Larceny,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,40.842838501,-73.939217894,01/22/2017,Sun,16,weekend,0,2
33,MANHATTAN,Jan,2017,1,MISDEMEANOR,Assault 3 & Related Offenses,25-44,WHITE,Male,25-44,WHITE,Male,40.841084921,-73.93976884,01/22/2017,Sun,18,weekend,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Criminal Mischief & Related Of,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,40.84344633,-73.94163526,01/23/2017,Mon,10,weekday,0,1
33,MANHATTAN,Jan,2017,0,VIOLATION,Harrassment 2,25-44,BLACK,Male,25-44,WHITE HISPANIC,Female,40.841438914,-73.939627569,01/23/2017,Mon,11,weekday,0,1
33,MANHATTAN,Jan,2017,0,VIOLATION,Harrassment 2,Unclear,Unclear,Unclear,25-44,BLACK,Female,40.839719275,-73.942151721,01/23/2017,Mon,09,weekday,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Petit Larceny,Unclear,BLACK,Male,Unclear,Unclear,Unclear,40.842838501,-73.939217894,01/24/2017,Tue,01,weekday,0,0
33,MANHATTAN,Jan,2017,0,FELONY,Grand Larceny,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,40.841642767,-73.94106581,01/25/2017,Wed,13,weekday,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Offenses Involving Fraud,25-44,WHITE HISPANIC,Male,Unclear,Unclear,Unclear,40.839475155,-73.937207962,01/25/2017,Wed,01,weekday,0,0
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Petit Larceny,45-64,BLACK,Male,Unclear,Unclear,Unclear,40.842838501,-73.939217894,01/25/2017,Wed,15,weekday,0,2
33,MANHATTAN,Jan,2017,3,FELONY,Felony Assault,18-24,BLACK,Male,Unclear,Unclear,Male,40.841642767,-73.94106581,01/25/2017,Wed,16,weekday,0,2
33,MANHATTAN,Jan,2017,0,FELONY,Burglary,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,40.844317753,-73.938941858,01/26/2017,Thu,00,weekday,0,0
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Petit Larceny,Unclear,Unclear,Unclear,45-64,WHITE HISPANIC,Female,40.841182466,-73.942674494,01/26/2017,Thu,09,weekday,0,1
33,MANHATTAN,Jan,2017,0,FELONY,Burglary,18-24,Unclear,Male,Unclear,Unclear,Unclear,40.844317753,-73.938941858,01/26/2017,Thu,03,weekday,0,0
33,MANHATTAN,Jan,2017,0,VIOLATION,Harrassment 2,25-44,BLACK HISPANIC,Male,25-44,WHITE HISPANIC,Male,40.841182466,-73.942674494,01/27/2017,Fri,12,weekday,0,1
33,MANHATTAN,Jan,2017,0,VIOLATION,Harrassment 2,Unclear,Unclear,Unclear,25-44,BLACK HISPANIC,Male,40.838997766,-73.93755897,01/27/2017,Fri,23,weekday,0,0
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Petit Larceny,Unclear,Unclear,Unclear,18-24,WHITE,Male,40.845019013,-73.941568822,01/27/2017,Fri,22,weekday,0,2
33,MANHATTAN,Jan,2017,0,VIOLATION,Harrassment 2,<18,BLACK HISPANIC,Male,<18,BLACK HISPANIC,Male,40.845448433,-73.938680589,01/27/2017,Fri,17,weekday,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Off. Agnst Pub Ord Sensblty &,Unclear,Unclear,Unclear,25-44,WHITE HISPANIC,Female,40.839575958,-73.940984517,01/27/2017,Fri,20,weekday,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Petit Larceny,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,40.842838501,-73.939217894,01/28/2017,Sat,17,weekend,0,2
33,MANHATTAN,Jan,2017,0,VIOLATION,Harrassment 2,25-44,WHITE HISPANIC,Female,Unclear,Unclear,Female,40.844323751,-73.93991048,01/29/2017,Sun,10,weekend,0,1
33,MANHATTAN,Jan,2017,3,FELONY,Felony Assault,25-44,WHITE HISPANIC,Male,Unclear,BLACK,Unclear,40.841642767,-73.94106581,01/29/2017,Sun,06,weekend,0,0
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Criminal Mischief & Related Of,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,40.84436545,-73.940933283,01/30/2017,Mon,23,weekday,0,0
33,MANHATTAN,Jan,2017,0,VIOLATION,Harrassment 2,Unclear,Unclear,Male,Unclear,Unclear,Male,40.841967866,-73.938159745,01/30/2017,Mon,14,weekday,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Dangerous Drugs,25-44,WHITE HISPANIC,Male,Unclear,Unclear,Unclear,40.843144527,-73.94186322,01/30/2017,Mon,00,weekday,0,0
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Off. Agnst Pub Ord Sensblty &,25-44,Unclear,Male,45-64,BLACK HISPANIC,Male,40.841967866,-73.938159745,01/31/2017,Tue,12,weekday,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Assault 3 & Related Offenses,Unclear,BLACK HISPANIC,Male,<18,BLACK HISPANIC,Male,40.839189034,-73.941140263,01/31/2017,Tue,16,weekday,0,2
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Assault 3 & Related Offenses,25-44,WHITE HISPANIC,Male,45-64,BLACK HISPANIC,Male,40.841967866,-73.938159745,01/31/2017,Tue,10,weekday,0,1
33,MANHATTAN,Jan,2017,0,MISDEMEANOR,Dangerous Weapons,18-24,BLACK HISPANIC,Male,Unclear,Unclear,Unclear,40.83970456,-73.940207387,01/31/2017,Tue,01,weekday,0,0
33,MANHATTAN,Feb,2017,1,MISDEMEANOR,Offenses Against Public Admini,25-44,BLACK,Male,Unclear,Unclear,Unclear,40.841084921,-73.93976884,02/01/2017,Wed,14,weekday,0,1
33,MANHATTAN,Feb,2017,0,MISDEMEANOR,Other State Laws (Non Penal La,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,40.842946185,-73.940446626,02/01/2017,Wed,17,weekday,0,2
33,MANHATTAN,Feb,2017,0,MISDEMEANOR,Petit Larceny,Unclear,Unclear,Unclear,65+,BLACK,Female,40.838998278,-73.938513061,02/03/2017,Fri,16,weekday,0,2
33,MANHATTAN,Feb,2017,0,VIOLATION,Harrassment 2,25-44,WHITE HISPANIC,Male,Unclear,Unclear,Female,40.844394169,-73.938124961,02/03/2017,Fri,05,weekday,0,0
33,MANHATTAN,Feb,2017,0,FELONY,Felony Assault,45-64,BLACK HISPANIC,Female,65+,WHITE HISPANIC,Female,40.844332954,-73.941800739,02/03/2017,Fri,19,weekday,0,2
33,MANHATTAN,Feb,2017,0,FELONY,Robbery,Unclear,Unclear,Male,18-24,BLACK HISPANIC,Male,40.843828558,-73.937749605,02/04/2017,Sat,06,weekend,0,0
33,MANHATTAN,Feb,2017,0,MISDEMEANOR,Petit Larceny,Unclear,BLACK HISPANIC,Male,Unclear,Unclear,Unclear,40.842838501,-73.939217894,02/05/2017,Sun,13,weekend,0,1
33,MANHATTAN,Feb,2017,0,FELONY,Grand Larceny,Unclear,Unclear,Unclear,45-64,WHITE HISPANIC,Male,40.84503177,-73.939689366,02/05/2017,Sun,17,weekend,0,2
33,MANHATTAN,Feb,2017,0,MISDEMEANOR,Assault 3 & Related Offenses,18-24,BLACK HISPANIC,Female,<18,BLACK HISPANIC,Female,40.840792611,-73.93719949,02/05/2017,Sun,12,weekend,0,1
33,MANHATTAN,Feb,2017,0,MISDEMEANOR,Offenses Involving Fraud,45-64,Unclear,Male,Unclear,Unclear,Unclear,40.844323751,-73.93991048,02/05/2017,Sun,12,weekend,0,1
